X
X
X
X
X
X
X
X
X
X
X
X
# AOA   Cl   Cd
-180.00   0.000000   0.000000
-30.00   0.090400   -1.227400
-29.50   0.083300   -1.221700
-29.00   0.075100   -1.221700
-28.50   0.068600   -1.223200
-28.00   0.062400   -1.223400
-27.50   0.055800   -1.219800
-27.00   0.049300   -1.221600
-26.50   0.042700   -1.224100
-26.00   0.036400   -1.226900
-25.50   0.029700   -1.234000
-25.00   0.023300   -1.246300
-24.50   0.017200   -1.257800
-24.00   0.010900   -1.269700
-23.50   0.004000   -1.283100
-23.00   -0.002200   -1.316300
-22.50   -0.008300   -1.352600
-22.00   -0.013500   -1.384600
-21.50   -0.018400   -1.417400
-21.00   -0.024000   -1.446900
-20.50   -0.028300   -1.470300
-20.00   -0.031800   -1.495400
-19.50   -0.034500   -1.518400
-19.00   -0.036500   -1.529000
-18.50   -0.038100   -1.530900
-18.00   -0.039100   -1.524700
-17.50   -0.039400   -1.523400
-17.00   -0.039200   -1.513000
-16.50   -0.038400   -1.494900
-16.00   -0.037300   -1.478500
-15.50   -0.035900   -1.456700
-15.00   -0.033900   -1.430900
-14.50   -0.031900   -1.405800
-14.00   -0.029300   -1.375300
-13.50   -0.021800   -1.346700
-13.00   -0.023700   -1.315100
-12.50   -0.020200   -1.286100
-12.00   -0.014500   -1.271800
-11.50   -0.002500   -1.254500
-11.00   -0.004300   -1.194500
-10.50   -0.006400   -1.132400
-10.00   -0.008900   -1.067700
-9.50   -0.010800   -1.010100
-9.00   -0.012000   -0.954300
-8.50   -0.011600   -0.906500
-8.00   -0.010200   -0.859200
-7.50   -0.008700   -0.810100
-7.00   -0.007400   -0.759600
-6.50   -0.006300   -0.708500
-6.00   -0.005300   -0.656300
-5.50   -0.004500   -0.603400
-5.00   -0.003600   -0.550400
-4.50   -0.003200   -0.496500
-4.00   -0.002700   -0.442500
-3.50   -0.002200   -0.388100
-3.00   -0.001800   -0.333200
-2.50   -0.001400   -0.278100
-2.00   -0.001100   -0.223000
-1.50   -0.000800   -0.167200
-1.00   -0.000500   -0.111700
-0.50   -0.000200   -0.055800
0.00   -0.000000   0.000000
0.50   0.000200   0.055800
1.00   0.000500   0.111900
1.50   0.000800   0.167200
2.00   0.001100   0.223000
2.50   0.001400   0.278100
3.00   0.001800   0.333200
3.50   0.002200   0.388100
4.00   0.002700   0.442500
4.50   0.003200   0.496600
5.00   0.003900   0.550500
5.50   0.004500   0.603500
6.00   0.005300   0.656400
6.50   0.006300   0.708700
7.00   0.007300   0.759700
7.50   0.008600   0.810300
8.00   0.010200   0.859500
8.50   0.011500   0.906800
9.00   0.012000   0.954600
9.50   0.010800   1.010400
10.00   0.008900   1.068000
10.50   0.006400   1.132800
11.00   0.004200   1.194900
11.50   0.002400   1.255100
12.00   0.014500   1.272100
12.50   0.020000   1.286800
13.00   0.023500   1.316000
13.50   0.026700   1.347900
14.00   0.029100   1.376700
14.50   0.031600   1.407400
15.00   0.033600   1.432700
15.50   0.035600   1.458800
16.00   0.036900   1.480800
16.50   0.038100   1.497700
17.00   0.038800   1.515800
17.50   0.039000   1.526300
18.00   0.038600   1.528300
18.50   0.037600   1.534600
19.00   0.036000   1.532900
19.50   0.034000   1.522400
20.00   0.031300   1.499100
20.50   0.027800   1.475200
21.00   0.023500   1.451800
21.50   0.018000   1.422200
22.00   0.013100   1.389300
22.50   0.007900   1.356600
23.00   0.001800   1.319600
23.50   -0.004500   1.287000
24.00   -0.011400   1.273200
24.50   -0.017700   1.261000
25.00   -0.023800   1.249400
25.50   -0.030300   1.236800
26.00   -0.037000   1.229900
26.50   -0.043300   1.227100
27.00   -0.050000   1.224600
27.50   -0.056500   1.222800
28.00   -0.063000   1.226600
28.50   -0.069200   1.226300
29.00   -0.075900   1.224800
29.50   -0.084100   1.224900
30.00   -0.091100   1.230800
180.00   0.000000   0.000000
EOT
