X
X
X
X
X
X
X
X
X
X
X
X
# AOA   Cl   Cd
-180.00   0.000000   0.000000
-30.00   -0.597200   0.286100
-29.50   -0.589700   0.282400
-29.00   -1.163300   0.249100
-28.50   -1.194900   0.233700
-28.00   -1.216500   0.221400
-27.50   -1.205600   0.216600
-27.00   -1.205000   0.209400
-26.50   -1.208800   0.201200
-26.00   -1.216200   0.192300
-25.50   -1.209000   0.186600
-25.00   -1.210100   0.179100
-24.50   -1.213400   0.171200
-24.00   -1.218200   0.163000
-23.50   -1.221000   0.155400
-23.00   -1.229700   0.146800
-22.50   -1.240400   0.137900
-22.00   -1.253000   0.128700
-21.50   -1.267000   0.119600
-21.00   -1.293800   0.108700
-20.50   -1.319700   0.098100
-20.00   -1.343300   0.088100
-19.50   -1.362300   0.078900
-19.00   -1.378200   0.070300
-18.50   -1.403400   0.060900
-18.00   -1.414100   0.053500
-17.50   -1.414800   0.047600
-17.00   -1.413500   0.042100
-16.50   -1.412400   0.036900
-16.00   -1.400100   0.033100
-15.50   -1.386000   0.029700
-15.00   -1.368900   0.026800
-14.50   -1.345800   0.024500
-14.00   -1.324300   0.022400
-13.50   -1.297300   0.020700
-13.00   -1.270400   0.019200
-12.50   -1.242700   0.018000
-12.00   -1.214600   0.017000
-11.50   -1.200600   0.016200
-11.00   -1.207600   0.015800
-10.50   -1.164500   0.015000
-10.00   -1.100800   0.014100
-9.50   -1.034500   0.013300
-9.00   -0.971500   0.012600
-8.50   -0.905300   0.011800
-8.00   -0.844500   0.011200
-7.50   -0.789300   0.010600
-7.00   -0.741100   0.010000
-6.50   -0.692800   0.009600
-6.00   -0.642600   0.009200
-5.50   -0.591500   0.008800
-5.00   -0.539600   0.008400
-4.50   -0.485500   0.008100
-4.00   -0.433800   0.007900
-3.50   -0.380200   0.007700
-3.00   -0.326400   0.007600
-2.50   -0.272500   0.007400
-2.00   -0.218000   0.007400
-1.50   -0.164000   0.007200
-1.00   -0.109200   0.007200
-0.50   -0.054700   0.007200
0.00   0.000000   0.007200
0.50   0.054700   0.007200
1.00   0.109200   0.007200
1.50   0.164000   0.007200
2.00   0.218000   0.007300
2.50   0.272600   0.007400
3.00   0.326500   0.007600
3.50   0.380200   0.007700
4.00   0.433800   0.007900
4.50   0.485500   0.008100
5.00   0.539700   0.008400
5.50   0.591600   0.008800
6.00   0.642700   0.009200
6.50   0.693000   0.009600
7.00   0.741300   0.010000
7.50   0.789500   0.010600
8.00   0.844700   0.011200
8.50   0.905500   0.011800
9.00   0.971700   0.012600
9.50   1.034800   0.013300
10.00   1.101200   0.014100
10.50   1.164900   0.015000
11.00   1.207500   0.015800
11.50   1.201000   0.016200
12.00   1.215300   0.017000
12.50   1.243700   0.018000
13.00   1.271600   0.019200
13.50   1.298600   0.020700
14.00   1.325900   0.022300
14.50   1.347500   0.024500
15.00   1.371000   0.026700
15.50   1.388100   0.029700
16.00   1.402700   0.033100
16.50   1.415100   0.036800
17.00   1.416100   0.042000
17.50   1.418300   0.047400
18.00   1.417700   0.053400
18.50   1.406800   0.060800
19.00   1.381100   0.070300
19.50   1.366700   0.078700
20.00   1.347400   0.087900
20.50   1.323700   0.098000
21.00   1.297400   0.108600
21.50   1.270200   0.119600
22.00   1.256600   0.128700
22.50   1.243800   0.137900
23.00   1.232900   0.146900
23.50   1.224100   0.155500
24.00   1.221100   0.163200
24.50   1.216400   0.171500
25.00   1.213000   0.179400
25.50   1.212000   0.187000
26.00   1.218900   0.192800
26.50   1.211600   0.201800
27.00   1.208000   0.210100
27.50   1.208700   0.217300
28.00   1.220000   0.222100
28.50   1.197500   0.234800
29.00   1.167400   0.250200
29.50   1.182200   0.254000
30.00   1.026600   0.325900
180.00   0.000000   0.000000
EOT
