# TSR	CP	CT	Rp	Tp	Zp
1.000000	0.069851	0.130676	-13.455330	-1.091042	-0.000000
1.315789	0.106595	0.194692	-4.824257	-1.015625	-0.000000
1.631579	0.139514	0.256385	-0.388699	-0.909133	-0.000000
1.947368	0.181975	0.327524	2.481572	-0.806408	0.000000
2.263158	0.276012	0.441843	4.829266	-0.703735	0.000000
2.578947	0.394213	0.586367	6.946338	-0.595376	0.000000
2.894737	0.443360	0.683801	8.175604	-0.507881	0.000000
3.210526	0.471126	0.770668	9.075095	-0.432662	0.000000
3.526316	0.476104	0.831898	9.522009	-0.380868	0.000000
3.842105	0.462554	0.864582	9.630805	-0.351366	0.000000
4.157895	0.440928	0.894479	9.746604	-0.325136	0.000000
4.473684	0.411562	0.917203	9.748086	-0.307356	0.000000
4.789474	0.378115	0.930316	9.564519	-0.301448	0.000000
5.105263	0.340293	0.941350	9.363476	-0.298822	0.000000
5.421053	0.298180	0.950414	9.146500	-0.298903	0.000000
5.736842	0.251441	0.957864	8.919922	-0.300996	0.000000
6.052632	0.199810	0.964251	8.690660	-0.304484	0.000000
6.368421	0.143327	0.970038	8.457417	-0.309162	0.000000
6.684211	0.081732	0.975185	8.221644	-0.314713	0.000000
7.000000	0.014723	0.979669	7.985412	-0.320837	0.000000
