theta, torque_1, torque_2
8.726646259971647390e-02 -3.379404003581883753e+00 -2.928807523347501385e-01
2.617993877991494078e-01 5.163676772710026341e+00 7.128992528641449944e+00
4.363323129985823279e-01 1.894069896021452237e+01 1.757717524858054858e+01
6.108652381980151924e-01 3.414340877196968904e+01 2.850470530080325560e+01
7.853981633974481680e-01 4.867818067336387600e+01 3.794535338372794797e+01
9.599310885968811435e-01 6.029160392204929053e+01 4.097940416131584129e+01
1.134464013796313786e+00 6.748762531997098790e+01 3.998456861260965667e+01
1.308996938995746762e+00 6.955936490110546799e+01 4.268680683908501550e+01
1.483529864195179737e+00 6.232089266553280282e+01 5.052458320020760851e+01
1.658062789394612713e+00 5.052458320020770799e+01 6.232089266553268914e+01
1.832595714594045688e+00 4.268680683908505102e+01 6.955936490110543957e+01
2.007128639793478442e+00 3.998456861260969220e+01 6.748762531997094527e+01
2.181661564992911195e+00 4.097940416131579866e+01 6.029160392204933316e+01
2.356194490192344393e+00 3.794535338372796218e+01 4.867818067336391863e+01
2.530727415391777146e+00 2.850470530080330533e+01 3.414340877196980273e+01
2.705260340591210344e+00 1.757717524858058056e+01 1.894069896021456501e+01
2.879793265790643098e+00 7.128992528641488136e+00 5.163676772710080520e+00
3.054326190990075851e+00 -2.928807523347266017e-01 -3.379404003581859328e+00
3.228859116189509049e+00 -3.687235764532886817e-01 -3.343171790344426242e+00
3.403392041388941802e+00 7.454930346744028213e+00 4.602244158947522479e+00
3.577924966588375000e+00 1.729463310981564561e+01 2.000209741731252677e+01
3.752457891787807753e+00 2.858084156873254500e+01 3.389156978408790621e+01
3.926990816987240507e+00 3.832681086352023669e+01 4.793768790931824952e+01
4.101523742186673260e+00 4.041134464704595075e+01 6.011116678286949622e+01
4.276056667386106014e+00 3.940116636302218467e+01 6.810100517315471791e+01
4.450589592585539656e+00 4.249914267897104025e+01 7.011278254422941814e+01
4.625122517784972409e+00 4.954354886114192169e+01 6.160237769634880323e+01
4.799655442984405163e+00 6.160237769634860427e+01 4.954354886114204248e+01
4.974188368183837916e+00 7.011278254422936129e+01 4.249914267897111131e+01
5.148721293383270670e+00 6.810100517315477475e+01 3.940116636302222730e+01
5.323254218582704311e+00 6.011116678286958859e+01 4.041134464704590812e+01
5.497787143782137065e+00 4.793768790931841295e+01 3.832681086352035038e+01
5.672320068981569818e+00 3.389156978408807674e+01 2.858084156873269066e+01
5.846852994181002572e+00 2.000209741731271862e+01 1.729463310981577351e+01
6.021385919380435325e+00 4.602244158947707220e+00 7.454930346744158776e+00
6.195918844579868967e+00 -3.343171790344389827e+00 -3.687235764532502680e-01
