# TSR	CP	CT	Rp	Tp	Zp
1.000000	0.084563	0.172870	-9.170854	-2.122217	-0.000000
1.315789	0.130131	0.255514	2.467976	-1.773844	0.000000
1.631579	0.166941	0.334477	8.576350	-1.462710	0.000000
1.947368	0.221442	0.430346	12.941394	-1.182894	0.000000
2.263158	0.294900	0.552095	16.299729	-0.921330	0.000000
2.578947	0.415185	0.728178	19.996161	-0.616523	0.000000
2.894737	0.476698	0.865987	22.808178	-0.345255	0.000000
3.210526	0.462384	0.917635	22.819264	-0.269784	0.000000
3.526316	0.433777	0.940025	22.139424	-0.263398	0.000000
3.842105	0.394952	0.957656	21.567258	-0.262300	0.000000
4.157895	0.349558	0.969841	20.831775	-0.278460	0.000000
4.473684	0.301853	0.976097	19.843528	-0.314039	0.000000
4.789474	0.248738	0.981245	18.903982	-0.350167	0.000000
5.105263	0.190134	0.985545	18.016012	-0.385604	0.000000
5.421053	0.125494	0.988973	17.173159	-0.419815	0.000000
5.736842	0.054096	0.991751	16.381225	-0.452053	0.000000
6.052632	-0.024662	0.993958	15.638912	-0.482110	0.000000
6.368421	-0.111341	0.995610	14.942278	-0.509990	0.000000
6.684211	-0.206492	0.996731	14.287810	-0.535749	0.000000
7.000000	-0.310637	0.997354	13.672466	-0.559474	0.000000
